context,candidates,target_position,target_lemma,pos_tag,gold_subst,gold_subst_weights
"['Surprisingly', 'in', 'such', 'a', 'dry', 'continent', 'as', 'Australia', ',', 'salt', 'becomes', 'a', 'problem', 'when', 'there', 'is', 'too', 'much', 'water', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",4,dry,a,"['arid', 'waterless']","[5.0, 1.0]"
"['For', 'people', 'who', 'knew', 'him', ',', 'it', 'was', 'typical', 'of', 'his', 'dry', 'humor', ',', 'but', 'some', 'in', 'the', 'audience', 'thought', 'he', 'was', 'tipsy', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",11,dry,a,"['wry', 'low key', 'facetious', 'impassive', 'understated', 'droll']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['The', 'romance', 'is', 'uninspiring...and', 'dry', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",4,dry,a,"['boring', 'uninteresting', 'unsympathetic', 'dull']","[2.0, 2.0, 1.0, 1.0]"
"['Part', 'c', ')', 'All', 'this', 'has', 'been', 'a', 'little', 'dry', 'so', 'far', ':', 'now', 'for', 'some', 'fun', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",9,dry,a,"['boring', 'uninteresting', 'dull']","[3.0, 2.0, 2.0]"
"['Perhaps', 'more', 'than', 'anything', 'what', 'one', 'loves', 'about', 'this', 'book', 'is', 'Fowler', ""'s"", 'incisive', 'dry', 'wit', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",14,dry,a,"['wry', 'deadpan', 'impassive', 'understated', 'tongue in cheek', 'droll']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['The', 'problem', 'is', ',', 'Aari', 'seems', 'to', 'have', 'no', 'memory', 'of', 'their', 'love', 'other', 'than', 'a', 'dry', 'recitation', 'as', 'if', 'he', 'is', 'reading', 'a', 'script', 'of', 'who', 'he', 'is', 'supposed', 'to', 'be', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",16,dry,a,"['dull', 'boring', 'soulless', 'uninteresting', 'flat']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['She', 'proved', 'that', 'in', 'two', 'years', 'in', 'Illinois', 'they', 'had', 'voted', 'ninety-six', 'towns', 'dry', ',', 'and', 'that', 'at', 'that', 'rate', 'we', 'would', 'soon', 'get', 'over', 'Montana', 'and', 'have', 'it', 'dry', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",29,dry,a,"['alcohol free', 'teetotal']","[3.0, 1.0]"
"['If', 'the', 'mixture', 'is', 'too', 'dry', ',', 'add', 'some', 'water', ';', 'if', 'it', 'is', 'too', 'soft,', 'add', 'some', 'flour', '.']","['arid', 'boring', 'deadpan', 'desiccated', 'droll', 'drought', 'dull', 'empty', 'evaporate', 'facetious', 'flat', 'impassive', 'out', 'parched', 'rainless', 'soulless', 'stodgy', 'teetotal', 'understated', 'uninteresting', 'unmoistened', 'unsympathetic', 'waterless', 'wry']",5,dry,a,"['parched', 'unmoistened', 'desiccated', 'stodgy']","[2.0, 1.0, 1.0, 1.0]"
"['Dave', 'Chalmers', ':', 'You', 'can', 'imagine', 'that', 'in', '100', 'or', '200', 'years', 'there', ""'s"", 'going', 'to', 'be', 'Sim', 'Universe', ',', 'everyone', ""'s"", 'going', 'to', 'have', 'an', 'entire', 'simulated', 'universe', 'on', 'the', 'desk', 'top', ',', 'there', 'will', 'be', 'virtual', 'realities', 'that', 'people', 'could', 'interact', 'with', ',', 'that', 'will', 'provide', 'the', 'full', 'richness', 'of', 'an', 'entire', 'life', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",49,full,a,"['complete', 'total', 'abundant']","[4.0, 1.0, 1.0]"
"['It', ""'s"", 'a', 'beatiful', 'album', 'full', 'of', 'the', 'type', 'of', 'songs', 'that', 'we', ""'re"", 'rarely', 'heard', 'from', 'the', 'Pumpkins', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",5,full,a,"['filled with', 'packed with', 'replete with', 'brimming with', 'filled']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['What', 'we', 'need', 'is', 'accountability', ';', 'we', 'need', 'offenders', 'prosecuted', 'with', 'the', 'full', 'weight', 'of', 'the', 'law', ',', 'so', 'that', 'this', 'behaviour', 'is', 'eradicated', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",12,full,a,"['complete', 'entire', 'total', 'whole']","[3.0, 2.0, 2.0, 1.0]"
"['The', 'patent', 'is', 'granted', 'in', 'return', 'for', 'full', 'disclosure', 'of', 'the', 'details', 'of', 'the', 'invention', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",7,full,a,"['complete', 'total']","[5.0, 1.0]"
"['Because', 'of', 'the', 'intermittency', 'and', 'variability', 'of', 'the', 'wind', ',', 'conventional', 'power', 'plants', 'must', 'be', 'kept', 'running', 'at', 'full', 'capacity', 'to', 'meet', 'the', 'actual', 'demand', 'for', 'electricity', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",18,full,a,"['maximum', 'top', 'highest', 'total', 'all out']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['He', 'tends', 'to', 'wear', 'a', 'doublet', ',', 'a', 'shirt', 'with', 'full', 'gentlemanly', 'blousing', 'sleeves', ',', 'kneelength', 'trousers', ',', 'and', 'slippers', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",10,full,a,"['voluminous', 'overflowing', 'abundant', 'ample', 'generous', 'big', 'gathered', 'complete', 'ruched']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['However', ',', 'once', 'I', 'got', 'a', 'full', 'load', 'of', 'clients', ',', 'I', 'realized', 'that', 'my', 'income', 'potential', 'was', 'being', 'limited', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",6,full,a,"['complete', 'maximum']","[3.0, 2.0]"
"['Of', 'course', ',', 'seeing', 'how', 'much', 'fun', 'he', 'has', 'finger', 'feeding', 'himself', 'a', 'high', 'chair', 'tray', 'full', 'of', 'mashed', 'banana', '(', 'some', 'will', 'actually', 'go', 'in', 'his', 'mouth', ')', 'is', 'worth', 'just', 'about', 'anything', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",16,full,a,"['brimming with', 'filled with', 'packed with', 'loaded with', 'crammed with', 'covered with']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['Be', 'sure', 'to', 'read', 'the', 'full', 'story', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",5,full,a,"['complete', 'whole', 'entire']","[3.0, 2.0, 2.0]"
"['Any', 'podium', ',', 'fax', ',', 'phone', ',', 'or', 'mail', 'bids', 'that', 'do', 'not', 'conform', 'to', 'a', 'full', 'or', 'half', 'increment', 'will', 'be', 'rounded', 'up', 'or', 'down', 'to', 'the', 'nearest', 'full', 'or', 'half', 'increment', '.']","['abundant', 'ample', 'big', 'complete', 'entire', 'filled', 'gathered', 'generous', 'highest', 'maximum', 'overflowing', 'ruched', 'top', 'total', 'voluminous', 'whole']",29,full,a,"['whole', 'complete', 'entire']","[3.0, 2.0, 1.0]"
"['The', 'wind', 'is', 'testing', 'its', 'strength', ',', 'Blowing', 'down', 'to', 'the', 'ants', ""'"", 'path', 'With', 'its', 'tiny', 'pebbles', ',', 'Down', 'to', 'the', 'tiny', 'heaps', 'of', 'gravel', ',', 'Down', 'to', 'all', 'the', 'heaps', 'of', 'gravel', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",23,heap,n,"['pile', 'mound']","[4.0, 1.0]"
"['Regards', 'George', 'Melky', 'Hey', 'guys', ',', 'thanks', 'heaps', 'for', 'the', 'fabulously', 'run', 'race', 'today', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",7,heap,n,"['loads', 'tons', 'lots', 'a lot']","[4.0, 1.0, 1.0, 1.0]"
"['By', 'the', 'time', 'you', ""'ve"", 'finished', 'your', 'dinner', 'you', ""'ve"", 'got', 'nothing', 'but', 'a', 'garbage', 'heap', 'on', 'your', 'plate', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",15,heap,n,"['pile', 'mound']","[3.0, 1.0]"
"['If', 'it', 'is', 'a', 'good', 'category', 'system', 'there', 'should', 'not', 'be', 'too', 'many', 'left', 'over', 'in', 'the', 'Miscellaneous', 'heap', ',', 'and', 'there', 'should', 'not', 'be', 'too', 'many', 'that', 'you', 'want', 'to', 'assign', 'to', 'more', 'than', 'one', 'category', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",18,heap,n,"['pile', 'collection', 'category']","[4.0, 1.0, 1.0]"
"['Composting', 'is', 'carried', 'out', 'by', 'accumulating', 'dung', ',', 'domestic', 'and', 'other', 'wastes', 'in', 'a', 'heap', 'or', 'pit', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",14,heap,n,"['pile', 'mound']","[3.0, 2.0]"
"['It', 'took', 'along', 'time', 'to', 'get', 'to', 'the', 'point', 'where', 'I', 'could', 'smile', 'at', 'the', 'thought', 'of', 'her', 'rather', 'then', 'collapse', 'into', 'an', 'emotional', 'heap', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",24,heap,n,"['mess', 'bundle', 'wreck', 'pile', 'state']","[2.0, 1.0, 1.0, 1.0, 1.0]"
"['In', '1978', ',', 'a', 'Ford', 'Mustang', 'II', '(', 'my', 'first', 'car', ',', 'and', 'trust', 'me', 'it', 'was', 'a', 'heap', ',', 'but', 'it', 'was', 'cheap', ')', 'cost', 'about', '$', '3,500', 'brand', 'new', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",18,heap,n,"['wreck', 'pile', 'mess']","[4.0, 1.0, 1.0]"
"['It', ""'s"", 'a', 'hodgepodge', ',', 'a', 'humongous', 'heap', 'of', 'tips', '&', 'tricks', ',', 'hortations', 'with', 'no', 'underlying', 'concepts', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",7,heap,n,"['pile', 'assortment', 'mess', 'untidy pile']","[4.0, 1.0, 1.0, 1.0]"
"['Some', 'years', 'ago', 'several', 'key', 'chefs', 'from', 'Fore', 'Street', 'had', 'been', 'snatched', 'up', 'to', 'make', 'this', 'cantankerous', 'heap', 'on', 'the', 'water', 'a', 'destination', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",17,heap,n,"['pile', 'lump', 'wreck', 'mess']","[4.0, 1.0, 1.0, 1.0]"
"['By', 'putting', 'them', 'in', 'your', 'compost', 'heap', ',', 'she', 'says', ',', '""', 'they', 'break', 'everything', 'down', 'fast', 'and', 'beautifully', '.']","['assortment', 'bin', 'bundle', 'category', 'collection', 'loads', 'lots', 'lump', 'mess', 'mound', 'pile', 'state', 'tons', 'wreck']",6,heap,n,"['pile', 'bin', 'mound']","[2.0, 1.0, 1.0]"
"['It', 'had', 'to', 'do', 'a', 'better', 'job', 'of', 'managing', 'the', 'key', 'global', 'issues', 'that', 'would', 'determine', 'the', 'future', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",6,job,n,"['duty', 'task', 'role']","[1.0, 1.0, 1.0]"
"['His', 'job', 'was', 'unpaid', ',', 'but', 'he', 'was', 'working', 'just', 'to', 'keep', 'himself', 'fit', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",1,job,n,"['work', 'employment', 'post']","[4.0, 2.0, 1.0]"
"['If', 'this', 'Government', 'had', 'been', 'doing', 'its', 'job', 'they', 'would', 'have', 'total', 'confidence', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",7,job,n,"['duty', 'function', 'bit', 'responsibility', 'task', 'role']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['When', 'it', ""'s"", 'dark.', ""'"", ""'"", 'She', 'had', 'no', 'idea', 'how', 'she', 'was', 'going', 'to', 'accomplish', 'this', ',', 'but', 'she', 'knew', 'that', 'as', 'the', 'eldest', 'it', 'was', 'her', 'job', 'to', 'look', 'after', 'her', 'two', 'younger', 'sisters', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",28,job,n,"['responsibility', 'duty', 'role', 'business']","[3.0, 2.0, 2.0, 1.0]"
"['Martin', 'Amis', ':', 'I', 'think', 'he', 'did', 'a', 'very', 'good', 'job', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",10,job,n,"['piece of work', 'assignment', 'task']","[3.0, 1.0, 1.0]"
"['We', 'need', 'far', 'better', 'government', ',', 'and', 'we', 'should', 'get', 'on', 'with', 'the', 'job', 'of', 'finding', 'it', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",13,job,n,"['task', 'matter', 'assignment', 'business', 'work']","[4.0, 1.0, 1.0, 1.0, 1.0]"
"['Human', 'resources', 'professionals', 'plan', 'and', 'organize', 'their', 'job', 'tasks', 'at', 'Complexity', 'Level', '4.', 'Explanation', 'of', 'the', 'Complexity', 'Levels', 'Level', '1', 'Level', '2', 'Level', '3', 'Level', '4', 'Little', 'variety', 'in', 'work', 'activities', ';', 'similar', 'repetitive', 'tasks', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",7,job,n,"['employment', 'work', 'functional', 'role']","[3.0, 2.0, 1.0, 1.0]"
"['Within', 'days', 'you', 'can', 'apply', 'for', 'that', 'unreachable', 'job', ',', 'or', 'show', 'your', 'degree', 'to', 'your', 'employer', 'and', 'demand', 'the', 'raise', 'and', 'promotion', 'that', 'your', 'knowledge', 'and', 'skills', 'deserve', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",8,job,n,"['post', 'position', 'career', 'role', 'employment']","[3.0, 2.0, 1.0, 1.0, 1.0]"
"['Job', 'creation', 'is', 'critical', 'to', 'attracting', 'new', 'residents', 'and', 'giving', 'renters', 'the', 'confidence', 'to', 'become', 'homeowners', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",0,job,n,"['employment', 'work']","[3.0, 1.0]"
"['People', 'are', 'thinking', 'of', 'something', 'they', 'can', 'take', 'home', ',', 'that', 'in', 'some', 'way', ',', 'affirms', 'what', 'they', 'believe', ',', 'or', 'how', 'they', 'think-and', 'boy', ',', 'it', ""'s"", 'not', 'the', 'job', 'description', 'of', 'the', 'artist', 'to', 'do', 'that', '.']","['assignment', 'bit', 'business', 'career', 'contract', 'duty', 'employment', 'function', 'functional', 'matter', 'place', 'position', 'post', 'responsibility', 'role', 'task', 'work']",30,job,n,"['role', 'employment', 'contract', 'place']","[2.0, 2.0, 1.0, 1.0]"
"['She', 'was', 'to', 'be', 'waiting', 'with', 'the', 'other', 'virgins', '-', 'her', 'bridesmaids', 'and', 'companions', '-', 'who', 'would', 'all', 'have', 'oil', 'in', 'their', 'lamps', 'in', 'case', 'the', 'groom', 'should', 'choose', 'to', 'come', 'late', 'in', 'the', 'night', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",31,late,r,"['well into', 'at a later hour']","[1.0, 1.0]"
"['This', 'fits', 'with', 'alot', 'of', 'my', 'thinking', 'of', 'late', 'when', 'it', 'comes', 'to', 'Church', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",8,late,r,"['recently', 'lately', 'current', 'recent']","[4.0, 1.0, 1.0, 1.0]"
"['""', 'He', 'would', 'come', 'home', 'late', 'from', 'work', ',', 'put', 'his', 'earpieces', 'in', 'and', 'listen', 'to', 'his', 'favourite', 'sports', 'show', 'on', 'the', 'radio', ',', 'read', 'the', 'paper', 'and', 'fall', 'asleep', ',', '""', 'Tilly', 'says', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",5,late,r,"['tardy', 'behind time', 'behind schedule', 'after normal time', 'overdue', 'after the usual time']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['We', 'were', 'late', 'doing', 'this', 'since', 'I', 'refused', 'to', 'use', 'someone', 'else', ""'s"", '""', 'shopping', 'cart', '""', 'system', 'that', 'I', 'did', ""n't"", 'write', 'and', 'could', ""n't"", 'trust', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",2,late,r,"['delayed', 'tardy', 'behind', 'behind time', 'behind schedule']","[3.0, 2.0, 1.0, 1.0, 1.0]"
"['Very', 'late', 'in', 'the', 'movie', ',', 'he', 'finally', 'does', 'marry', 'Scarlett', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",1,late,r,"['far on', 'near end', 'near the end of', 'well into', 'latterly', 'last minute']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['There', 'were', 'only', '10', 'golf', 'clubs', 'in', 'the', 'late', '1700s', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",8,late,r,"['end of the', 'at the end of the', 'end of', 'latter part of']","[2.0, 1.0, 1.0, 1.0]"
"['This', 'fear', 'of', 'being', 'slow', 'or', 'late', 'is', 'an', 'older', 'and', 'more', 'dangerous', 'problem', 'than', 'it', 'seems', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",6,late,r,"['delayed', 'behind', 'tardy', 'not on time', 'behind time', 'behind schedule']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['As', 'late', 'as', '1918', ',', 'they', 'elected', '32', 'state', 'legislators', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",1,late,r,"['recently', 'recent']","[3.0, 1.0]"
"['In', 'the', 'late', '60s', ',', 'he', 'moved', 'to', 'California', ',', 'got', 'bored', 'and', 'moved', 'to', 'Nashville', 'where', 'he', 'began', 'working', 'on', 'his', 'first', 'album', 'titled', '""', 'Old', 'No.1', '""', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",2,late,r,"['end of the', 'latter part of', 'At the end of the']","[3.0, 1.0, 1.0]"
"['I', 'married', 'late', 'and', 'had', 'children', 'later', 'and', 'in', 'retrospect', 'my', 'self', 'absorption', 'in', 'my', 'own', 'career', 'cheated', 'my', 'sons', 'of', 'knowing', 'this', 'man', 'who', 'taught', 'me', 'so', 'much', '.']","['behind', 'current', 'delayed', 'lately', 'latterly', 'older', 'overdue', 'recent', 'recently', 'tardy']",2,late,r,"['after the usual', 'behind time', 'older', 'older than the norm', 'after the normal time', 'at a later stage']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['My', 'interest', 'in', 'Europe', ""'s"", 'defence', 'policy', 'is', 'nothing', 'new', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",9,new,a,"['original', 'recent', 'novel', 'different', 'additional']","[2.0, 2.0, 2.0, 1.0, 1.0]"
"['Do', 'not', 'start', 'a', 'new', 'page', 'for', 'new', 'sections', '(', 'chapters', ')', 'or', 'subsections', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",7,new,a,"['different', 'further', 'additional', 'fresh']","[2.0, 1.0, 1.0, 1.0]"
"['While', 'there', 'she', 'also', 'received', 'a', 'visit', 'from', 'the', 'holy', 'Carmelite', 'Maria', 'de', 'Yepes', ',', 'who', 'had', 'just', 'returned', 'from', 'Rome', 'with', 'permission', 'to', 'establish', 'a', 'reformed', 'convent', 'and', 'who', 'provided', 'Teresa', 'with', 'a', 'new', 'light', 'on', 'the', 'question', 'of', 'the', 'type', 'of', 'poverty', 'to', 'be', 'adopted', 'by', 'her', 'own', 'community', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",34,new,a,"['fresh', 'different', 'additional', 'another', 'distinct', 'novel']","[2.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
"['Tea', 'hybrid', 'Climbing', 'Mme', 'Caroline', 'Testout', 'Damask', 'Rose', 'York', 'and', 'Lancaster', 'with', 'pink', 'and', 'white', 'flowers', 'All', 'these', 'roses', 'flower', 'only', 'on', 'one-year', 'old', 'branches', ',', 'which', 'is', 'why', 'they', 'have', 'only', 'a', 'short', 'flowering', 'period', 'followed', 'by', 'development', 'of', 'new', 'branches', 'for', 'next', 'year', ""'s"", 'flowers', '(', 'some', 'Damask', 'roses', ',', 'though', ',', 'show', 'a', 'second', 'short', 'bloom', 'in', 'fall', ')', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",40,new,a,"['additional', 'fresh', 'younger', 'extra']","[2.0, 2.0, 1.0, 1.0]"
"['Our', 'proposals', 'will', 'unlock', 'new', 'ways', 'of', 'raising', 'the', 'finance', 'needed', 'to', 'develop', 'businesses', ',', 'be', 'they', 'big', 'or', 'small', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",4,new,a,"['different', 'novel', 'original', 'additional', 'fresh', 'modern']","[2.0, 2.0, 1.0, 1.0, 1.0, 1.0]"
"['In', 'her', 'welcome', 'address', 'to', 'delegates', ',', 'she', 'will', 'be', 'announcing', 'the', 'publication', 'of', 'updated', 'HSE', 'guidelines', 'on', 'lifting', 'and', 'the', 'outcome', 'of', 'new', 'research', 'by', 'the', 'Institute', 'of', 'Occupational', 'Medicine', ',', 'that', 'validates', 'the', 'current', 'manual', 'handling', 'advice', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",23,new,a,"['fresh', 'novel', 'original', 'current', 'recent']","[3.0, 2.0, 1.0, 1.0, 1.0]"
"['I', 'love', 'this', 'saddle', 'and', 'hate', 'to', 'sell', 'it', ',', 'but', 'just', 'does', ""n't"", 'fit', 'the', 'new', 'horse', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",16,new,a,"['latest', 'fresh', 'recently acquired']","[3.0, 1.0, 1.0]"
"['The', 'lecture', 'itself', 'went', 'well', ',', 'but', 'a', 'new', 'problem', 'arose', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",8,new,a,"['fresh', 'different', 'additional', 'extra']","[4.0, 1.0, 1.0, 1.0]"
"['The', 'announcement', 'came', 'just', 'hours', 'before', 'a', 'planned', 'press', 'conference', 'to', 'reveal', 'the', 'name', 'of', 'the', 'new', 'director', '.']","['additional', 'another', 'current', 'different', 'distinct', 'extra', 'fresh', 'further', 'latest', 'modern', 'novel', 'original', 'other', 'recent', 'succeeding', 'younger']",16,new,a,"['latest', 'succeeding', 'recently started', 'fresh']","[2.0, 1.0, 1.0, 1.0]"
